uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std,,,,,,,,,,,,,,,,,,,,,,,,
none,0.7048,0.7629,0.3231,0.6376,1.2039,0.3249,0.0086,0.0122,0.0124,0.1137,0.0518,0.0083,,,,,,,,,,,,,,,,,,,,,,,,
ensemble,0.6732,0.6930,0.3795,0.7898,4.2051,0.3750,0.0067,0.0100,0.0078,0.0855,0.4839,0.0048,,,,,,,,,,,,,,,,,,,,,,,,
ensemble,0.6710,0.6781,0.3914,0.8398,3.6814,0.3787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
ensemble,0.6731,0.6902,0.3725,0.7321,3.2480,0.3715,0.0061,0.0152,0.0092,0.0824,0.2891,0.0042,,,,,,,,,,,,,,,,,,,,,,,,
ensemble,0.6814,0.7048,0.3674,0.7138,3.1880,0.3682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
none,0.6190,0.6252,0.2661,0.4346,0.8642,0.3098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-none,0.6184,0.6237,0.2696,0.4336,0.8625,0.3093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-none,0.7015,0.7562,0.3366,0.5482,1.3294,0.3372,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-focal,0.6763,0.7182,0.1599,0.6280,0.7298,0.2502,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl,0.6414,0.6654,0.1160,0.2282,0.6934,0.2497,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000GraphCL-dkl-s1,0.6988,0.7239,0.1128,0.3773,0.6762,0.2412,0.0107,0.0233,0.0021,0.0641,0.0031,0.0015,,,,,,,,,,,,
GraphCL-dkl-s2,0.6915,0.7066,0.1130,0.4815,0.6780,0.2421,0.0135,0.0333,0.0083,0.1340,0.0059,0.0028,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl-s3,0.6964,0.7118,0.1121,0.4813,0.6764,0.2413,0.0082,0.0138,0.0053,0.1229,0.0027,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl-s4,0.7018,0.7298,0.1219,0.4813,0.6781,0.2422,0.0090,0.0185,0.0059,0.1355,0.0035,0.0017,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-none,0.6878,0.7270,0.2422,0.3917,0.8966,0.2778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-focal,0.7024,0.7583,0.1309,0.3722,0.6337,0.2218,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-dkl,0.7101,0.7552,0.1409,0.3656,0.6827,0.2448,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-none,0.6833,0.7279,0.3034,0.6138,1.1063,0.3161,0.0168,0.0234,0.0176,0.0866,0.0729,0.0092,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-focal,0.6735,0.7153,0.1090,0.8247,0.6682,0.2350,0.0115,0.0162,0.0223,0.1300,0.0072,0.0044,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-dkl,0.6719,0.7128,0.1309,0.3720,0.6952,0.2503,0.0381,0.0616,0.0121,0.0573,0.0109,0.0049,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl-s2,0.6912,0.7215,0.1112,0.4684,0.6783,0.2422,0.0071,0.0392,0.0108,0.1657,0.0042,0.0020,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl-s2,0.6866,0.6994,0.1116,0.4051,0.6796,0.2428,0.0067,0.0382,0.0036,0.0612,0.0026,0.0013,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-dkl-s1,0.6802,0.6963,0.1092,0.4540,0.6807,0.2433,0.0182,0.0461,0.0093,0.0959,0.0038,0.0019,,,,,,,,,,,,,,,,,,,,,,,,
GraphCL-fdkl-s2,0.6874,0.7132,0.1137,0.4255,0.6801,0.2430,0.0094,0.0304,0.0067,0.1114,0.0025,0.0012,,,,,,,,,,,,,,,,,,,,,,,,
nopretrain-fdkl,0.6808,0.7063,0.1281,0.4135,0.6865,0.2464,0.0164,0.0296,0.0097,0.0417,0.0082,0.0039,,,,,,,,,,,,nopretrain-svdkl-s2,0.6279,0.6327,0.0387,0.0387,0.6941,0.2505,0.0414,0.0491,0.0004,0.0004,0.0002,0.0001GraphCL-svdkl-s2,0.6847,0.7188,0.0342,0.0342,0.6892,0.2481,0.0138,0.0309,0.0015,0.0015,0.0008,0.0004
nopretrain-svdkl-s2,0.6831,0.7228,0.0303,0.1178,0.6886,0.2477,0.0102,0.0246,0.0020,0.1770,0.0006,0.0003
GraphCL-svdkl-s2,0.6852,0.7209,0.0343,0.0343,0.6892,0.2481,0.0137,0.0290,0.0016,0.0016,0.0007,0.0004
