uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
none,0.7367,0.5507,0.0869,0.8790,0.2895,0.0863,0.0211,0.0061,0.0156,0.0706,0.0219,0.0066
none,0.7927,0.6033,0.0952,0.8895,0.3047,0.0862,0.0144,0.0229,0.0150,0.0481,0.0326,0.0086
ensemble,0.8705,0.6772,0.0799,0.8750,0.3084,0.0654,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
dkl,0.5166,0.5068,0.2317,0.2317,0.4063,0.1137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-none,0.7999,0.5835,0.1125,0.9716,0.3225,0.0927,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-focal,0.7936,0.5841,0.1979,0.7934,0.3656,0.1099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl,0.7627,0.5621,0.2557,0.7029,0.4216,0.1221,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl-s1,0.6981,0.5416,0.2557,0.6038,0.4304,0.1262,0.0354,0.0100,0.0034,0.0594,0.0023,0.0010
GraphCL-dkl-s2,0.7003,0.5423,0.2523,0.6446,0.4280,0.1251,0.0240,0.0043,0.0043,0.0238,0.0041,0.0019
GraphCL-dkl-s3,0.7169,0.5465,0.2539,0.6352,0.4281,0.1250,0.0169,0.0023,0.0029,0.0277,0.0024,0.0011
GraphCL-dkl-s4,0.7189,0.5475,0.2553,0.6250,0.4305,0.1262,0.0265,0.0061,0.0059,0.0505,0.0062,0.0028
nopretrain-none,0.5736,0.5203,0.1153,0.7717,0.3126,0.0792,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nopretrain-focal,0.5947,0.5251,0.2949,0.5415,0.4977,0.1591,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nopretrain-dkl,0.6047,0.5306,0.2664,0.2904,0.4421,0.1299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
nopretrain-none,0.6275,0.5336,0.0903,0.9174,0.3111,0.0804,0.0515,0.0151,0.0256,0.0924,0.0365,0.0108
nopretrain-focal,0.5914,0.5286,0.2624,0.6909,0.4651,0.1449,0.0225,0.0214,0.0354,0.2000,0.0433,0.0190
nopretrain-dkl,0.6165,0.5493,0.2645,0.5113,0.4419,0.1307,0.0397,0.0239,0.0092,0.0353,0.0124,0.0056
GraphCL-dkl-s1,0.7823,0.5800,0.2502,0.6326,0.4160,0.1196,0.0294,0.0255,0.0041,0.0603,0.0036,0.0018
GraphCL-dkl-s2,0.8067,0.5788,0.2516,0.6677,0.4148,0.1191,0.0163,0.0118,0.0045,0.0150,0.0018,0.0009
GraphCL-dkl-s2,0.8023,0.5898,0.2518,0.6514,0.4146,0.1190,0.0120,0.0199,0.0019,0.0486,0.0036,0.0017
GraphCL-fdkl,0.6750,0.5531,0.2451,0.6037,0.4185,0.1206,0.0214,0.0167,0.0046,0.0961,0.0043,0.0020
GraphCL-fdkl,0.7822,0.5695,0.2502,0.6072,0.4140,0.1187,0.0204,0.0084,0.0028,0.1098,0.0033,0.0016
nopretrain-fdkl,0.6093,0.5374,0.2648,0.5403,0.4438,0.1315,0.0175,0.0171,0.0078,0.0371,0.0112,0.0052
nopretrain-dkl-s1,0.5705,0.5317,0.2602,0.4949,0.4410,0.1305,0.0453,0.0263,0.0039,0.0803,0.0073,0.0033
nopretrain-dkl-s2,0.6470,0.5448,0.2559,0.5417,0.4314,0.1260,0.0304,0.0208,0.0083,0.0761,0.0092,0.0042
