uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
none,0.7762,0.1602,0.0198,0.7899,0.1410,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ensemble,0.7864,0.1887,0.0324,0.5637,0.1862,0.0344,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-none,0.7533,0.1514,0.0194,0.8840,0.1434,0.0335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-focal,0.7721,0.1597,0.1041,0.9587,0.1916,0.0415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl-s1,0.7603,0.1747,0.2524,0.4911,0.3565,0.0918,0.0087,0.0264,0.0004,0.1787,0.0016,0.0007
GraphCL-dkl-s2,0.7597,0.1737,0.2520,0.5448,0.3563,0.0917,0.0061,0.0123,0.0006,0.0772,0.0009,0.0004
GraphCL-dkl-s3,0.7561,0.1803,0.2518,0.5301,0.3562,0.0916,0.0099,0.0324,0.0004,0.1271,0.0020,0.0009
GraphCL-dkl-s4,0.7646,0.1895,0.2523,0.5330,0.3561,0.0916,0.0123,0.0222,0.0008,0.1319,0.0018,0.0008
nopretrain-none,0.7488,0.1554,0.0098,0.9111,0.1302,0.0304,0.0061,0.0229,0.0019,0.0783,0.0022,0.0009
nopretrain-focal,0.7464,0.1630,0.1026,0.8743,0.1910,0.0398,0.0140,0.0327,0.0070,0.0779,0.0077,0.0021
nopretrain-dkl,0.7603,0.1675,0.2518,0.5953,0.3565,0.0918,0.0181,0.0261,0.0015,0.0414,0.0019,0.0009
GraphCL-dkl-s1,0.7568,0.1816,0.2528,0.6468,0.3561,0.0917,0.0041,0.0203,0.0006,0.0972,0.0012,0.0006
GraphCL-svdkl-s2,0.7359,0.3304,0.1464,0.3510,0.2396,0.0582,0.0075,0.0106,0.0226,0.0231,0.0237,0.0067
GraphCL-svdkl-s2,0.6193,0.0378,0.1011,0.1111,0.2014,0.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-svdkl-s2,0.4280,0.0255,0.1074,0.1111,0.2082,0.0424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-svdkl-s2,0.4233,0.0245,0.1068,0.1324,0.2078,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-svdkl-s2,0.5463,0.0291,0.1052,0.1103,0.2055,0.0418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-svdkl-s2,0.4988,0.0283,0.1073,0.1103,0.2075,0.0423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-svdkl-s2,0.4754,0.0283,0.1103,0.1141,0.2104,0.0430,0.0721,0.0041,0.0045,0.0028,0.0046,0.0011
