uncertainty method,roc-auc-mean,prc-auc-mean,ece-mean,mce-mean,nll-mean,brier-mean,roc-auc-std,prc-auc-std,ece-std,mce-std,nll-std,brier-std
none,0.5850,0.6181,0.0992,0.5109,0.5056,0.1658,0.0078,0.0016,0.0053,0.0264,0.0050,0.0016
ensemble,0.5886,0.6233,0.1713,0.7555,0.7329,0.1958,0.0073,0.0025,0.0036,0.0219,0.0184,0.0028
ensemble,0.5960,0.6286,0.1706,0.7315,0.7282,0.1948,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
GraphCL-dkl-s1,0.5826,0.6156,0.1568,0.4134,0.5561,0.1844,0.0083,0.0025,0.0016,0.0168,0.0017,0.0008
GraphCL-dkl-s2,0.5799,0.6142,0.1568,0.4033,0.5564,0.1845,0.0081,0.0018,0.0023,0.0286,0.0019,0.0009
GraphCL-dkl-s3,0.5815,0.6154,0.1576,0.4148,0.5561,0.1844,0.0107,0.0036,0.0011,0.0243,0.0021,0.0010
GraphCL-dkl-s4,0.5845,0.6153,0.1585,0.4128,0.5560,0.1843,0.0094,0.0027,0.0016,0.0197,0.0018,0.0008
nopretrain-none,0.5769,0.6167,0.1048,0.5684,0.5179,0.1689,0.0229,0.0122,0.0055,0.0395,0.0123,0.0030
nopretrain-focal,0.5923,0.6202,0.1810,0.4480,0.5677,0.1923,0.0160,0.0050,0.0075,0.0509,0.0076,0.0034
nopretrain-dkl-s2,0.5949,0.6193,0.1564,0.4422,0.5570,0.1850,0.0098,0.0075,0.0025,0.0416,0.0018,0.0009
GraphCL-dkl-s1,0.5826,0.6160,0.1568,0.3974,0.5559,0.1843,0.0101,0.0031,0.0024,0.0213,0.0019,0.0009
GraphCL-dkl-s2,0.5836,0.6161,0.1576,0.4266,0.5560,0.1844,0.0110,0.0035,0.0013,0.0262,0.0022,0.0011
GraphCL-dkl-s3,0.5836,0.6170,0.1579,0.4150,0.5560,0.1843,0.0077,0.0018,0.0023,0.0265,0.0020,0.0010
GraphCL-dkl-s4,0.5807,0.6142,0.1583,0.4145,0.5562,0.1844,0.0120,0.0043,0.0012,0.0118,0.0022,0.0010
GraphCL-focal-s2,0.5882,0.6179,0.1851,0.5122,0.5685,0.1927,0.0054,0.0012,0.0071,0.0269,0.0057,0.0027
